ID,Tropical,Warm,Cold
V_anabaptista,NaN,2,0
V_subsessile,NaN,2,0
V_tinoides,NaN,2,0
V_undulatum,NaN,2,0
V_jamesonii,NaN,2,0
V_lasiophyllum,NaN,2,0
V_glabratum,NaN,2,0
V_hallii,NaN,2,0
V_pichinchense,NaN,2,0
V_divaricatum,NaN,2,0
V_stipitatum,NaN,2,0
V_obtectum,NaN,2,0
V_triphyllum,NaN,2,0
V_ayavacense,NaN,2,0
V_seemenii,NaN,2,0
V_toronis,NaN,2,0
V_costaricanum,NaN,2,0
V_hartwegii,NaN,2,0
V_obtusatum,NaN,2,0
V_villosum,NaN,2,0
V_jucundum,NaN,2,0
V_lautum,NaN,2,0
V_hondurense,NaN,2,0
V_disjunctum,NaN,2,0
V_stellato_tomentosum,NaN,2,0
V_acutifolium,NaN,2,0
V_sulcatum,NaN,2,0
V_venustum,NaN,2,0
V_discolor,NaN,2,0
V_microphyllum,NaN,2,0
V_blandum,NaN,2,0
V_caudatum,NaN,2,0
V_ciliatum,NaN,2,0
V_microcarpum,NaN,2,0
V_stenocalyx,NaN,2,0
V_loeseneri,NaN,2,0
V_dentatum,0,0,2
V_recognitum,0,0,2
V_scabrellum,0,2,0
V_molle,0,0,2
V_rafinesquianum,0,0,2
V_bracteatum,0,0,2
V_australe,0,2,NaN
V_ellipticum,0,2,NaN
Porphyrotinus_CO,NaN,2,NaN
V_brevipes,NaN,2,2
V_corylifolium,0,2,NaN
V_dilatatum,0,0,2
V_parvifolium,0,2,NaN
V_flavescens,0,NaN,2
V_ichangense,0,NaN,2
V_adenophorum,NaN,2,0
V_wrightii,0,NaN,2
V_fordiae,0,2,NaN
V_formosanum,0,2,0
V_luzonicum,0,2,0
V_tashiroi,0,2,0
V_hainanense,NaN,2,0
V_phlebotrichum,0,NaN,2
V_setigerum,0,NaN,2
V_brachyandrum,0,2,NaN
V_erosum,0,NaN,2
V_lancifolium,NaN,2,0
V_anamensis,NaN,2,0
V_sempervirens,NaN,2,0
V_chunii,NaN,2,0
V_japonicum,NaN,2,0
V_longiradiatum,0,2,2
V_dalzielii,0,2,NaN
V_integrifolium,NaN,2,0
V_betulifolium,0,0,2
V_hupehense,0,NaN,2
V_lobophyllum,0,NaN,2
V_melanocarpum,0,NaN,2
V_mullaha,0,0,2
V_foetidum,NaN,2,NaN
V_acerifolium,0,0,2
V_orientale,0,0,2
V_kansuense,0,0,2
V_hispidulum,2,NaN,0
V_vernicosum,2,NaN,0
V_glaberrimum,2,NaN,0
V_beccarii,2,NaN,0
V_inopinatum,NaN,2,0
V_sambucinum,2,NaN,0
V_leiocarpum,NaN,2,0
V_ternatum,0,2,0
V_coriaceum,2,NaN,0
V_hebanthum,2,NaN,0
V_cylindricum,NaN,2,0
V_opulus,0,0,2
V_sargentii,0,0,2
V_trilobum,0,0,2
V_edule,0,0,2
V_koreanum,0,0,2
V_atrocyaneum,NaN,2,0
V_calvum,NaN,2,2
V_cinnamomifolium,0,2,0
V_propinquum,NaN,2,0
V_davidii,NaN,2,0
V_rigidum,NaN,2,0
V_tinus,NaN,2,0
V_treleasei,NaN,2,0
V_henryi,NaN,2,0
V_wardii,NaN,2,NaN
V_brachybotryum,NaN,2,0
V_corymbiflorum,NaN,2,NaN
V_shweliense,0,2,2
V_tengyuehense,0,2,2
V_brevitubum,0,2,2
V_oliganthum,NaN,NaN,2
V_erubescens,0,NaN,2
V_chingii,NaN,2,2
V_yunnanense,0,2,NaN
V_foetens,0,0,2
V_grandiflorum,0,0,2
V_farreri,0,0,2
V_suspensum,NaN,2,0
V_taitoense,NaN,2,0
V_subalpinum,0,NaN,2
V_awabuki,NaN,2,0
V_odoratissimum,NaN,2,0
V_sieboldii,0,NaN,2
V_colebrookeanum,2,NaN,0
V_garrettii,2,2,0
V_junghunii,NaN,2,0
V_hanceanum,0,2,NaN
V_plicatum,0,NaN,2
V_lutescens,2,NaN,0
V_pyramidatum,NaN,2,0
V_amplifolium,0,2,0
V_amplificatum,2,NaN,0
Viburnum_BC,NaN,2,NaN
V_bitchiuense,0,0,2
V_carlesii,0,0,2
V_congestum,0,2,2
V_schensianum,0,0,2
V_utile,0,0,2
V_macrocephalum,0,NaN,2
V_buddleifolium,0,NaN,2
V_chinshanense,0,2,2
V_rhytidophyllum,0,NaN,2
V_glomeratum,0,NaN,2
V_veitchii,0,NaN,2
V_lantana,0,NaN,2
V_maculatum,0,NaN,2
V_burejaeticum,0,0,2
V_mongolicum,0,0,2
V_cotinifolium,0,NaN,2
V_elatum,0,2,0
V_obovatum,0,2,0
V_prunifolium,0,0,2
V_rufidulum,0,2,2
V_lentago,0,0,2
Valvatotinus_IS,NaN,2,2
V_cassinoides,0,0,2
V_nudum,0,2,0
V_lepidotulum,2,NaN,0
V_punctatum,2,NaN,0
Valvatotinus_PB,NaN,2,NaN
Valvatotinus_NWT,NaN,2,NaN
V_furcatum,0,0,2
V_sympodiale,0,0,2
V_lantanoides,0,0,2
V_nervosum,0,0,2
V_taiwanianum,NaN,2,0
V_urceolatum,0,NaN,2
V_clemensiae,2,NaN,0
