ID,Tropical,Warm,Cold
V_anabaptista,0,0,1
V_subsessile,0,0,1
V_tinoides,0,0,1
V_undulatum,0,0,1
V_jamesonii,0,0,1
V_lasiophyllum,0,0,1
V_glabratum,0,0,1
V_hallii,0,0,1
V_pichinchense,0,0,1
V_divaricatum,0,0,1
V_stipitatum,0,0,1
V_obtectum,0,0,1
V_triphyllum,0,0,1
V_ayavacense,0,0,1
V_seemenii,0,0,1
V_toronis,0,0,1
V_costaricanum,0,0,1
V_hartwegii,0,0,1
V_obtusatum,0,0,1
V_villosum,0,0,1
V_jucundum,0,0,1
V_lautum,0,0,1
V_hondurense,0,0,1
V_disjunctum,0,0,1
V_stellato_tomentosum,0,0,1
V_acutifolium,0,0,1
V_sulcatum,0,0,1
V_venustum,0,0,1
V_discolor,0,0,1
V_microphyllum,0,0,1
V_blandum,0,0,1
V_caudatum,0,0,1
V_ciliatum,0,0,1
V_microcarpum,0,0,1
V_stenocalyx,0,0,1
V_loeseneri,0,0,1
V_dentatum,1,1,0
V_recognitum,1,1,0
V_scabrellum,1,0,1
V_molle,1,1,0
V_rafinesquianum,1,1,0
V_bracteatum,1,1,0
V_australe,1,0,0
V_ellipticum,1,0,0
Porphyrotinus_CO,0,0,0
V_brevipes,0,0,0
V_corylifolium,1,0,0
V_dilatatum,1,1,0
V_parvifolium,1,0,0
V_flavescens,1,0,0
V_ichangense,1,0,0
V_adenophorum,0,0,1
V_wrightii,1,0,0
V_fordiae,1,0,0
V_formosanum,1,0,1
V_luzonicum,1,0,1
V_tashiroi,1,0,1
V_hainanense,0,0,1
V_phlebotrichum,1,0,0
V_setigerum,1,0,0
V_brachyandrum,1,0,0
V_erosum,1,0,0
V_lancifolium,0,0,1
V_anamensis,0,0,1
V_sempervirens,0,0,1
V_chunii,0,0,1
V_japonicum,0,0,1
V_longiradiatum,1,0,0
V_dalzielii,1,0,0
V_integrifolium,0,0,1
V_betulifolium,1,1,0
V_hupehense,1,0,0
V_lobophyllum,1,0,0
V_melanocarpum,1,0,0
V_mullaha,1,1,0
V_foetidum,0,0,0
V_acerifolium,1,1,0
V_orientale,1,1,0
V_kansuense,1,1,0
V_hispidulum,0,0,1
V_vernicosum,0,0,1
V_glaberrimum,0,0,1
V_beccarii,0,0,1
V_inopinatum,0,0,1
V_sambucinum,0,0,1
V_leiocarpum,0,0,1
V_ternatum,1,0,1
V_coriaceum,0,0,1
V_hebanthum,0,0,1
V_cylindricum,0,0,1
V_opulus,1,1,0
V_sargentii,1,1,0
V_trilobum,1,1,0
V_edule,1,1,0
V_koreanum,1,1,0
V_atrocyaneum,0,0,1
V_calvum,0,0,0
V_cinnamomifolium,1,0,1
V_propinquum,0,0,1
V_davidii,0,0,1
V_rigidum,0,0,1
V_tinus,0,0,1
V_treleasei,0,0,1
V_henryi,0,0,1
V_wardii,0,0,0
V_brachybotryum,0,0,1
V_corymbiflorum,0,0,0
V_shweliense,1,0,0
V_tengyuehense,1,0,0
V_brevitubum,1,0,0
V_oliganthum,0,0,0
V_erubescens,1,0,0
V_chingii,0,0,1
V_yunnanense,1,0,0
V_foetens,1,1,0
V_grandiflorum,1,1,0
V_farreri,1,1,0
V_suspensum,0,0,1
V_taitoense,0,0,1
V_subalpinum,1,0,0
V_awabuki,0,0,1
V_odoratissimum,0,0,1
V_sieboldii,1,0,0
V_colebrookeanum,0,0,1
V_garrettii,0,0,1
V_junghunii,0,0,1
V_hanceanum,1,0,0
V_plicatum,1,0,0
V_lutescens,0,0,1
V_pyramidatum,0,0,1
V_amplifolium,1,0,1
V_amplificatum,0,0,1
Viburnum_BC,0,0,0
V_bitchiuense,1,1,0
V_carlesii,1,1,0
V_congestum,1,1,0
V_schensianum,1,1,0
V_utile,1,1,0
V_macrocephalum,1,0,0
V_buddleifolium,1,0,0
V_chinshanense,1,0,0
V_rhytidophyllum,1,0,0
V_glomeratum,1,0,0
V_veitchii,1,0,0
V_lantana,1,0,0
V_maculatum,1,0,0
V_burejaeticum,1,1,0
V_mongolicum,1,1,0
V_cotinifolium,1,0,0
V_elatum,1,0,1
V_obovatum,1,0,1
V_prunifolium,1,1,0
V_rufidulum,1,0,0
V_lentago,1,1,0
Valvatotinus_IS,0,0,0
V_cassinoides,1,1,0
V_nudum,1,0,1
V_lepidotulum,0,0,1
V_punctatum,0,0,1
Valvatotinus_PB,0,0,0
Valvatotinus_NWT,0,0,0
V_furcatum,1,1,0
V_sympodiale,1,1,0
V_lantanoides,1,1,0
V_nervosum,1,1,0
V_taiwanianum,0,0,1
V_urceolatum,1,0,0
V_clemensiae,0,0,1
